"Problem","Package","File","Priority","Line","Description","Rule set","Rule"
"1","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","7","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"2","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","8","Parameter 'args' is not assigned and could be declared final","Optimization Rules","MethodArgumentCouldBeFinal"
"3","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","9","Local variable 'myFile' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"4","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","10","Local variable 'myXmlToJavaParser' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"5","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","11","Local variable 'myQuiz' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"6","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","2","13","System.out.print is used","Java Logging Rules","SystemPrintln"
"7","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/App.java","3","15","Local variable 'fichier' could be declared final","Optimization Rules","LocalVariableCouldBeFinal"
"8","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/IxmlToJava.java","3","12","Avoid modifiers which are implied by the context","Controversial Rules","UnusedModifier"
"9","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","24","All methods are static.  Consider using Singleton instead.  Alternatively, you could add a private constructor or make the class abstract to silence this warning.","Design Rules","UseSingleton"
"10","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","24","The class 'JavaToXml' has a Cyclomatic Complexity of 3 (Highest = 12).","Code Size Rules","CyclomaticComplexity"
"11","dcll.projet.quizzer","src/main/java/dcll/projet/quizzer/JavaToXml.java","3","24","This class has too many methods, consider refactoring it.","Code Size Rules","TooManyMethods"
